Chip,Hour,Droplet,Bacteria Count
C5,00h,00324-02745.roi,0.0
C5,00h,00325-02814.roi,0.0
C5,00h,00326-02747.roi,0.0
C5,00h,00327-03428.roi,10051.0
C5,00h,00328-02885.roi,0.0
C5,00h,00329-02762.roi,0.0
C5,00h,00330-02770.roi,0.0
C5,00h,00331-03184.roi,1200.0
C5,00h,00332-02849.roi,0.0
C5,00h,00333-02786.roi,0.0
C5,00h,00334-02792.roi,0.0
C5,00h,00335-02999.roi,0.0
C5,00h,00336-03162.roi,973.0
C5,00h,00337-02791.roi,0.0
C5,00h,00338-03119.roi,242.0
C5,00h,00339-02884.roi,0.0
C5,00h,00340-02934.roi,0.0
C5,00h,00341-02905.roi,0.0
C5,00h,00342-02866.roi,0.0
C5,00h,00343-02945.roi,0.0
C5,00h,00344-02867.roi,0.0
C5,00h,00345-02928.roi,0.0
C5,00h,00346-02872.roi,0.0
C5,00h,00347-02882.roi,0.0
C5,00h,00348-03050.roi,0.0
C5,00h,00349-02927.roi,0.0
C5,00h,00350-02956.roi,0.0
C5,00h,00351-02913.roi,0.0
C5,00h,00352-03003.roi,0.0
C5,00h,00353-03080.roi,0.0
C5,00h,00354-03233.roi,142.0
C5,00h,00355-03075.roi,27.0
C5,00h,00356-02987.roi,0.0
C5,00h,00357-02988.roi,0.0
C5,00h,00358-02987.roi,0.0
C5,00h,00359-03057.roi,0.0
C5,00h,00360-03796.roi,6516.0
C5,00h,00361-03072.roi,0.0
C5,00h,00362-03057.roi,0.0
C5,00h,00363-03114.roi,0.0
C5,00h,00364-03212.roi,120.0
C5,00h,00365-03067.roi,0.0
C5,00h,00366-03521.roi,0.0
C5,00h,00367-03059.roi,0.0
C5,00h,00368-03216.roi,0.0
C5,00h,00369-03301.roi,96.0
C5,00h,00370-03670.roi,0.0
C5,00h,00371-03364.roi,158.0
C5,00h,00372-03196.roi,0.0
C5,00h,00373-03190.roi,0.0
C5,00h,00374-03151.roi,0.0
C5,00h,00375-03610.roi,2129.0
C5,00h,00376-03240.roi,0.0
C5,00h,00377-03190.roi,0.0
C5,00h,00378-03186.roi,0.0
C5,00h,00379-03300.roi,0.0
C5,00h,00380-03897.roi,4830.0
C5,00h,00381-03290.roi,0.0
C5,00h,00382-03749.roi,1396.0
C5,00h,00383-03224.roi,0.0
C5,00h,00384-03228.roi,0.0
C5,00h,00385-03932.roi,3489.0
C5,00h,00386-03259.roi,0.0
C5,00h,00387-03289.roi,0.0
C5,00h,00388-03324.roi,0.0
C5,00h,00389-03297.roi,0.0
C5,00h,00390-03313.roi,0.0
C5,00h,00391-03359.roi,0.0
C5,00h,00392-03322.roi,0.0
C5,00h,00393-03345.roi,0.0
C5,00h,00394-03317.roi,0.0
C5,00h,00395-03424.roi,73.0
C5,00h,00396-03322.roi,0.0
C5,00h,00397-03437.roi,0.0
C5,00h,00398-03351.roi,0.0
C5,00h,00399-03458.roi,35.0
C5,00h,00400-03396.roi,37.0
C5,00h,00401-03375.roi,0.0
C5,00h,00402-03391.roi,0.0
C5,00h,00403-03379.roi,0.0
C5,00h,00404-03399.roi,0.0
C5,00h,00405-03435.roi,0.0
C5,00h,00406-03464.roi,72.0
C5,00h,00407-03372.roi,0.0
C5,00h,00408-03434.roi,0.0
C5,00h,00409-03436.roi,0.0
C5,00h,00410-03573.roi,39.0
C5,00h,00411-03730.roi,331.0
C5,00h,00412-03486.roi,0.0
C5,00h,00413-03517.roi,0.0
C5,00h,00414-03519.roi,0.0
C5,00h,00415-03543.roi,30.0
C5,00h,00416-03542.roi,0.0
C5,00h,00417-03531.roi,0.0
C5,00h,00418-03491.roi,0.0
C5,00h,00419-03912.roi,407.0
C5,00h,00420-03545.roi,0.0
C5,00h,00421-03894.roi,650.0
C5,00h,00422-03520.roi,0.0
C5,00h,00423-03635.roi,0.0
C5,00h,00424-03562.roi,0.0
C5,00h,00425-04145.roi,98.0
C5,00h,00426-03568.roi,0.0
C5,00h,00427-03715.roi,27.0
C5,00h,00428-03792.roi,0.0
C5,00h,00429-03738.roi,110.0
C5,00h,00430-03695.roi,0.0
C5,00h,00431-03739.roi,23.0
C5,00h,00432-03810.roi,43.0
C5,00h,00433-03760.roi,32.0
C5,00h,00434-04674.roi,7431.0
C5,00h,00435-03782.roi,35.0
C5,00h,00436-03765.roi,0.0
C5,00h,00437-03766.roi,0.0
C5,00h,00438-04348.roi,4011.0
C5,00h,00439-03760.roi,0.0
C5,00h,00440-03744.roi,0.0
C5,00h,00441-03811.roi,0.0
C5,00h,00442-03747.roi,0.0
C5,00h,00443-04245.roi,1548.0
C5,00h,00444-03862.roi,0.0
C5,00h,00445-03796.roi,0.0
C5,00h,00446-03937.roi,0.0
C5,00h,00447-03879.roi,0.0
C5,00h,00448-03883.roi,22.0
C5,00h,00449-03934.roi,32.0
C5,00h,00450-03860.roi,0.0
C5,00h,00451-03944.roi,0.0
C5,00h,00452-03877.roi,0.0
C5,00h,00453-03911.roi,0.0
C5,00h,00454-03892.roi,0.0
C5,00h,00455-03911.roi,0.0
C5,00h,00456-03910.roi,0.0
C5,00h,00457-03899.roi,0.0
C5,00h,00458-03990.roi,0.0
C5,00h,00459-04406.roi,2515.0
C5,00h,00460-04013.roi,0.0
C5,00h,00461-03975.roi,0.0
C5,00h,00462-03980.roi,0.0
C5,00h,00463-04417.roi,0.0
C5,00h,00464-04001.roi,0.0
C5,00h,00465-03996.roi,0.0
C5,00h,00466-04049.roi,41.0
C5,00h,00467-04052.roi,0.0
C5,00h,00468-04094.roi,0.0
C5,00h,00469-04125.roi,0.0
C5,00h,00470-04707.roi,0.0
C5,00h,00471-04083.roi,0.0
C5,00h,00472-04077.roi,0.0
C5,00h,00473-04266.roi,44.0
C5,00h,00474-04096.roi,0.0
C5,00h,00475-04144.roi,0.0
C5,00h,00476-04116.roi,0.0
C5,00h,00477-04249.roi,10.0
C5,00h,00478-04187.roi,0.0
C5,00h,00479-04176.roi,0.0
C5,00h,00480-04304.roi,0.0
C5,00h,00481-04197.roi,0.0
C5,00h,00482-04148.roi,0.0
C5,00h,00483-04151.roi,0.0
C5,00h,00484-04351.roi,77.0
C5,00h,00485-04533.roi,464.0
C5,00h,00486-04357.roi,31.0
C5,00h,00487-04213.roi,0.0
C5,00h,00488-04204.roi,0.0
C5,00h,00489-04372.roi,166.0
C5,00h,00490-04507.roi,0.0
C5,00h,00491-04810.roi,1519.0
C5,00h,00492-04254.roi,0.0
C5,00h,00493-04319.roi,0.0
C5,00h,00494-04277.roi,0.0
C5,00h,00495-04390.roi,0.0
C5,00h,00496-04758.roi,0.0
C5,00h,00497-04304.roi,0.0
C5,00h,00498-04341.roi,0.0
C5,00h,00499-04906.roi,2972.0
C5,00h,00500-04331.roi,0.0
C5,00h,00501-04393.roi,0.0
C5,00h,00502-04426.roi,0.0
C5,00h,00503-04362.roi,0.0
C5,00h,00504-04438.roi,0.0
C5,00h,00505-04421.roi,0.0
C5,00h,00506-04364.roi,0.0
C5,00h,00507-04375.roi,0.0
C5,00h,00508-04367.roi,0.0
C5,00h,00509-04520.roi,42.0
C5,00h,00510-04390.roi,0.0
C5,00h,00511-04416.roi,0.0
C5,00h,00512-04386.roi,0.0
C5,00h,00513-04410.roi,0.0
C5,00h,00514-04393.roi,0.0
C5,00h,00515-04449.roi,0.0
C5,00h,00516-04427.roi,0.0
C5,00h,00517-04965.roi,1011.0
C5,00h,00518-04468.roi,0.0
C5,00h,00519-04886.roi,1811.0
C5,00h,00520-04461.roi,0.0
C5,00h,00521-04467.roi,0.0
C5,00h,00522-04712.roi,0.0
C5,00h,00523-04494.roi,0.0
C5,00h,00524-04499.roi,0.0
C5,00h,00525-04609.roi,0.0
C5,00h,00526-04513.roi,0.0
C5,00h,00527-04604.roi,0.0
C5,00h,00528-04513.roi,0.0
C5,00h,00529-04594.roi,0.0
C5,00h,00530-04545.roi,0.0
C5,00h,00531-04557.roi,0.0
C5,00h,00532-04620.roi,0.0
C5,00h,00533-04588.roi,0.0
C5,00h,00534-04629.roi,0.0
C5,00h,00535-04625.roi,0.0
C5,00h,00536-04657.roi,0.0
C5,00h,00537-04633.roi,0.0
C5,00h,00538-04672.roi,0.0
C5,00h,00539-04665.roi,0.0
C5,00h,00540-04674.roi,0.0
C5,00h,00541-04652.roi,0.0
C5,00h,00542-04775.roi,0.0
C5,00h,00543-04691.roi,0.0
C5,00h,00544-04695.roi,0.0
C5,00h,00545-04712.roi,0.0
C5,00h,00546-04715.roi,0.0
C5,00h,00547-04694.roi,0.0
C5,00h,00548-04709.roi,0.0
C5,00h,00549-04703.roi,0.0
C5,00h,00550-04777.roi,0.0
C5,00h,00551-05124.roi,509.0
C5,00h,00552-04777.roi,0.0
C5,00h,00553-04728.roi,0.0
C5,00h,00554-04759.roi,0.0
C5,00h,00555-04750.roi,0.0
C5,00h,00556-04850.roi,49.0
C5,00h,00557-05039.roi,272.0
C5,00h,00558-04840.roi,0.0
C5,00h,00559-04826.roi,27.0
C5,00h,00560-05341.roi,0.0
C5,00h,00561-04909.roi,0.0
C5,00h,00562-04809.roi,0.0
C5,00h,00563-04808.roi,0.0
C5,00h,00564-04812.roi,0.0
C5,00h,00565-04807.roi,0.0
C5,00h,00566-04815.roi,0.0
C5,00h,00567-04813.roi,0.0
C5,00h,00568-04852.roi,0.0
C5,00h,00569-05296.roi,0.0
C5,00h,00570-05059.roi,134.0
C5,00h,00571-04907.roi,0.0
C5,00h,00572-04891.roi,0.0
C5,00h,00573-04864.roi,0.0
C5,00h,00574-04963.roi,0.0
C5,00h,00575-04870.roi,0.0
C5,00h,00576-05356.roi,1720.0
C5,00h,00577-05008.roi,0.0
C5,00h,00578-04892.roi,0.0
C5,00h,00579-04941.roi,20.0
C5,00h,00580-05038.roi,0.0
C5,00h,00581-04898.roi,20.0
C5,00h,00582-04900.roi,0.0
